country,suicide,gdp
Albania,924.76,1859
Antigua and Barbuda,179.14,10448
Argentina,3894.59,7914
Armenia,976.21,1874
Aruba,1596.52,24222
Australia,4677.41,32776
Austria,9076.23,34262
Azerbaijan,356.24,1005
Bahamas,344.28,25836
Bahrain,467.24,18040
Barbados,891.13,12251
Belarus,7831.13,3334
Belgium,7900.5,32067
Belize,2093.49,4006
Bosnia and Herzegovina,110.81,5078
Brazil,2174.72,6091
Bulgaria,7016.08,3640
Cabo Verde,133.84,4124
Canada,4338.72,30887
Chile,3921.64,7493
Colombia,2009.39,3709
Costa Rica,2553.72,5150
Croatia,5982.84,10356
Cuba,6111.95,4351
Cyprus,586.26,27668
Czech Republic,5952.99,12370
Denmark,3721.65,49300
Dominica,0,1485
Ecuador,2345.21,3286
El Salvador,3035.94,2551
Estonia,6873.78,11376
Fiji,673.86,3913
Finland,7924.11,35468
France,7803.25,31481
Georgia,1116.38,1893
Germany,4854.69,35164
Greece,1512.12,17019
Grenada,661,6209
Guatemala,1146.7,2264
Guyana,6655.92,1675
Hungary,10156.07,9370
Iceland,4889.74,39275
Ireland,3881.73,34231
Israel,3329.97,23125
Italy,3168.87,26603
Jamaica,106.44,3301
Japan,8025.23,36398
Kazakhstan,9519.52,5329
Kiribati,878.51,876
Kuwait,355.93,27819
Kyrgyzstan,4457.3,721
Latvia,7373.35,8961
Lithuania,10588.88,9281
Luxembourg,6156.56,68798
Macau,171.74,18081
Maldives,164.08,5089
Malta,1872.01,14044
Mauritius,4464.58,5507
Mexico,1751.19,7138
Mongolia,184.39,4145
Montenegro,1194.03,4196
Netherlands,4066.52,35715
New Zealand,5008.32,22279
Nicaragua,472.82,2029
Norway,4658.76,57320
Oman,26.5,20741
Panama,1744.06,6627
Paraguay,1366.37,2366
Philippines,435.83,1540
Poland,4397.62,8146
Portugal,3673.36,14176
Puerto Rico,3789.28,18353
Qatar,318.15,67756
Republic of Korea,9350.45,14801
Romania,4171.55,4791
Russian Federation,11305.13,6519
Saint Kitts and Nevis,0,5525
Saint Lucia,2420.12,5789
Saint Vincent and Grenadines,1726.63,4955
San Marino,145.62,53664
Serbia,4787.45,4471
Seychelles,1615.7,10656
Singapore,6340.98,38050
Slovakia,3318.16,10526
Slovenia,7012.62,18642
South Africa,231.49,5590
Spain,3509.06,20982
Sri Lanka,4658.96,904
Suriname,7162.32,4352
Sweden,5247.72,41358
Switzerland,4794.07,62982
Thailand,2362.67,3572
Trinidad and Tobago,4479.51,8829
Turkey,199.17,12134
Turkmenistan,2994.73,2618
Ukraine,8931.66,1868
United Arab Emirates,94.89,42162
United Kingdom,2790.92,31908
United States,5140.97,39270
Uruguay,6538.96,7622
Uzbekistan,2138.17,976
(blank),,
