country,pop,suicide,gdp
Albania,236081.3144,3.502878788,1859.045455
Antigua and Barbuda,6142.679012,0.552901235,10448.18519
Argentina,2784907.073,10.46932796,7914.096774
Armenia,259557.6275,3.275872483,1873.919463
Aruba,7498.077381,9.503095238,24221.64286
Australia,1506604.961,12.99280556,32776.4
Austria,638358.8848,23.7597644,34261.7801
Azerbaijan,582241.1458,1.855416667,1005.125
Bahamas,23757.42029,1.247391304,25836.3913
Bahrain,66483.83333,1.854126984,18039.52381
Barbados,20712.30333,2.970433333,12251
Belarus,783223.381,31.0759127,3333.904762
Belgium,815329.6263,21.23790323,32066.74194
Belize,18717.30655,6.230625,4006.464286
Bosnia and Herzegovina,305311.7083,4.617083333,5077.5
Brazil,13054014.91,5.846021505,6091.483871
Bulgaria,644277.6611,19.48911111,3640.433333
Cabo Verde,37681.58333,11.15333333,4124
Canada,2373713.17,12.46758621,30887.48276
Chile,1149529.817,10.54204301,7493.064516
Colombia,2978338.618,5.401586022,3708.967742
Costa Rica,283824.4111,7.093666667,5149.7
Croatia,350115.8435,22.83526718,10355.87023
Cuba,874271.2951,21.22204861,4351.166667
Cyprus,65210.46067,3.293595506,27668.22472
Czech Republic,820206.646,18.48754658,12369.54658
Denmark,424932.6477,14.09715909,49299.90909
Dominica,5533.333333,0,1485
Ecuador,925612.8763,6.304327957,3286.258065
El Salvador,432929.5069,10.54145833,2550.666667
Estonia,107503.2143,27.27690476,11376.09524
Fiji,62025.68939,5.105,3913.272727
Finland,407832.3506,22.77043103,35468.27586
France,4640991.042,21.67569444,31481.46667
Georgia,354540.9091,4.228712121,1893.136364
Germany,6489985.936,15.55990385,35164.23077
Greece,849720.7124,4.06483871,17019.3871
Grenada,7571.890323,2.132258065,6209.406452
Guatemala,848216.2139,3.185277778,2263.533333
Guyana,55315.29667,22.1864,1674.92
Hungary,802078.2452,32.76151613,9370.051613
Iceland,22010.2199,12.80036649,39274.75393
Ireland,302843.5722,10.78258333,34230.86667
Israel,465246.7419,8.951532258,23125.45161
Italy,4610332.538,8.518467742,26602.58065
Jamaica,193538.3186,0.521764706,3301.235294
Japan,9895228.075,21.57319892,36397.54839
Kazakhstan,1209980.349,30.51128205,5329.115385
Kiribati,5618.227273,6.655378788,875.9090909
Kuwait,190366.6367,1.186433333,27819
Kyrgyzstan,369148.0353,14.28621795,720.7307692
Latvia,177986.6667,29.2593254,8961.095238
Lithuania,259867.2137,40.41557252,9280.549618
Luxembourg,34820.31183,16.54989247,68798.3871
Macau,28878.5,14.31166667,18081
Maldives,24168.71667,1.367333333,5088.9
Malta,30181.19086,5.032284946,14044.41935
Mauritius,87465.73037,11.6873822,5506.659686
Mexico,7454191.288,4.7075,7138.451613
Mongolia,216758.9,18.439,4145
Montenegro,48623.85833,9.95025,4195.6
Netherlands,1244401.228,10.64534031,35714.67016
New Zealand,296236.8678,14.39172414,22279.48276
Nicaragua,440869.9028,6.566944444,2028.833333
Norway,355480.7972,12.941,57319.6
Oman,249641.3056,0.736111111,20740.66667
Panama,234218.8633,5.813533333,6626.52
Paraguay,384697.4352,4.217191358,2365.777778
Philippines,5917045.439,2.421277778,1540.2
Poland,3007569.545,15.26951389,8146.458333
Portugal,806354.3704,11.33753086,14176.2963
Puerto Rico,283297.379,10.18623656,18352.64516
Qatar,122868.2303,1.787359551,67756.44944
Republic of Korea,3642325.097,25.13561828,14801.25806
Romania,1721754.38,12.48967066,4791.449102
Russian Federation,11391366.11,34.89237654,6518.814815
Saint Kitts and Nevis,3258.333333,0,5525
Saint Lucia,11638.45238,7.202738095,5789.035714
Saint Vincent and Grenadines,8125.54,5.755433333,4954.64
San Marino,2189.583333,4.045,53663.66667
Serbia,583982.1204,22.16412037,4471.277778
Seychelles,6448.222222,7.480092593,10655.72222
Singapore,253339.8952,17.04564516,38050.25806
Slovakia,423612.5492,12.56878788,10526
Slovenia,159796.1071,27.82785714,18642.2381
South Africa,3638044.842,0.964541667,5589.5
Spain,3300164.234,9.432956989,20982.16129
Sri Lanka,1382769.894,35.29515152,904.2727273
Suriname,34640.68155,21.31642857,4351.964286
Sweden,707533.8855,14.65843575,41357.57542
Switzerland,595214.3254,19.0240873,62981.7619
Thailand,4744911.021,7.073862275,3572.161677
Trinidad and Tobago,96429.31173,13.82564815,8829.037037
Turkey,5745721.214,2.371071429,12134.28571
Turkmenistan,332117.2931,8.605545977,2618.103448
Ukraine,3828777.333,26.58232143,1867.535714
United Arab Emirates,506976.0417,1.317916667,42162
United Kingdom,4674106.935,7.502473118,31908.35484
United States,21650610.76,13.81981183,39269.6129
Uruguay,250205.1875,19.46119048,7622.071429
Uzbekistan,1842509.591,8.099128788,976.1818182
(blank),,,
Grand Total,1844793.617,12.81609741,16866.46441
